Generating SQLite file .\nsys_profiles_win\large_forward_backward_bf16_20251218_162513.sqlite from .\nsys_profiles_win\large_forward_backward_bf16_20251218_162513.nsys-rep
Processing [.\nsys_profiles_win\large_forward_backward_bf16_20251218_162513.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2025.3.2\host-windows-x64\reports\cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
92.9,167378383314,3445,48585887.8,166749.0,9120,221525988,82773891.3,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
4.3,7680429582,5018,1530575.8,44879.0,7327,9967908,3199078.4,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.7,1236288426,2197,562716.6,422490.0,96799,3600391,579552.5,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_nn
0.7,1208865247,2197,550234.5,412697.0,87966,6053184,598372.5,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_nt
0.5,864936727,1872,462038.8,275611.5,126142,2913938,483726.7,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
0.3,510824316,8138,62770.3,8640.0,2400,463769,116307.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.2,297226086,312,952647.7,652853.5,454457,3241868,699143.7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_tn
0.1,113142245,39,2901083.2,247132.0,1728,9963110,3777044.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long long)1>>(int, T2, T3)"
0.1,100401888,1872,53633.5,48431.5,16704,122238,23888.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.0,88298482,5044,17505.6,13200.0,4479,67615,12215.4,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
