Generating SQLite file .\nsys_profiles_win\large_forward_backward_fp32_20251218_162513.sqlite from .\nsys_profiles_win\large_forward_backward_fp32_20251218_162513.nsys-rep
Processing [.\nsys_profiles_win\large_forward_backward_fp32_20251218_162513.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2025.3.2\host-windows-x64\reports\cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
26.6,3946437192,5967,661377.1,24031.0,8608,21275962,1626141.6,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
21.5,3191228169,2197,1452539.0,872114.0,325115,9001334,1385219.0,ampere_sgemm_128x64_tn
16.2,2411897579,949,2541514.8,1639655.0,1253357,19580596,3117809.8,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(T1::Params)
14.9,2215346167,949,2334400.6,1510665.0,1169198,17460661,2832128.5,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_nt_align1>(T1::Params)
6.0,893465051,1248,715917.5,461737.0,358586,5386349,879936.7,ampere_sgemm_128x64_nn
5.9,872894568,1248,699434.8,450953.5,346363,5277775,864423.4,ampere_sgemm_128x64_nt
2.1,311625035,5044,61781.3,24496.0,1183,328539,65895.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
1.3,187507079,975,192315.0,2240.0,1184,7668620,1140537.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long long)1>>(int, T2, T3)"
1.0,141283224,7540,18737.8,15871.5,5984,141470,15212.0,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.9,129979244,5941,21878.3,14207.0,4160,320444,25628.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.5,80628916,624,129213.0,83519.0,64447,887538,157213.3,ampere_sgemm_128x128_nt
0.5,69304398,624,111064.7,83150.5,44992,904562,116956.0,ampere_sgemm_128x128_nn
0.4,58765014,312,188349.4,182893.0,152350,327835,21914.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_backward_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float, float) (instance 1)], std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.4,56228107,1248,45054.6,30479.5,16864,305243,43526.8,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
