Generating SQLite file .\nsys_profiles_win\medium_ctx128_forward_backward.sqlite from .\nsys_profiles_win\medium_ctx128_forward_backward.nsys-rep
Processing [.\nsys_profiles_win\medium_ctx128_forward_backward.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2025.3.2\host-windows-x64\reports\cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
24.2,203765013,1105,184402.7,99615.0,77279,722773,112652.4,ampere_sgemm_128x64_tn
21.9,184248898,1092,168726.1,95470.0,66463,451000,98369.7,ampere_sgemm_128x64_nn
15.1,126734727,468,270800.7,284828.0,209436,319099,31965.4,ampere_sgemm_128x64_nt
11.4,95865291,3003,31923.2,5824.0,3616,296004,50029.8,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
5.9,49623998,624,79525.6,83070.0,61375,94239,9219.5,ampere_sgemm_64x64_nt
5.6,46896574,2548,18405.2,8944.5,1024,76577,19213.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
2.6,21785890,3796,5739.2,5728.0,2688,15392,1408.4,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.0,16983036,2977,5704.7,4063.0,2048,19552,3514.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
1.3,10966335,312,35148.5,36768.0,27648,41663,3763.1,ampere_sgemm_128x128_nn
1.3,10707975,312,34320.4,35903.5,26271,40319,4043.0,ampere_sgemm_128x128_nt
0.9,7776037,13,598156.7,638326.0,479544,681589,74276.5,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(T1::Params)
0.9,7524169,13,578782.2,618518.0,470616,652662,71003.7,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_nt_align1>(T1::Params)
0.9,7430483,624,11907.8,10512.0,6048,23361,4782.4,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
