Generating SQLite file .\nsys_profiles_win\small_ctx1024_forward_backward.sqlite from .\nsys_profiles_win\small_ctx1024_forward_backward.nsys-rep
Processing [.\nsys_profiles_win\small_ctx1024_forward_backward.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2025.3.2\host-windows-x64\reports\cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
13.7,297598649,1300,228922.0,36991.5,1056,1362667,330427.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
9.8,213234973,312,683445.4,683941.0,592502,900690,65610.2,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
8.9,194286056,559,347560.0,154302.0,118942,2734677,369394.4,ampere_sgemm_128x64_tn
6.0,129496283,247,524276.4,444729.0,364282,2273596,364313.9,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_nt_align1>(T1::Params)
5.9,129108833,468,275873.6,153693.5,122751,604215,182265.8,ampere_sgemm_128x64_nn
5.8,126488526,234,540549.3,540311.0,416122,633814,41516.3,ampere_sgemm_128x128_nn
5.7,123468720,1495,82587.8,19391.0,4959,1330251,233860.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
5.1,111722915,156,716172.5,696533.0,608182,908914,64830.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)2>>(int, T2, T3)"
5.1,110753999,156,709961.5,696357.0,627926,909073,54458.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long long)2>>(int, T2, T3)"
4.8,104900302,416,252164.2,403641.5,7360,581079,203590.4,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)"
