Generating SQLite file .\nsys_profiles_win\small_ctx128_forward.sqlite from .\nsys_profiles_win\small_ctx128_forward.nsys-rep
Processing [.\nsys_profiles_win\small_ctx128_forward.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2025.3.2\host-windows-x64\reports\cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
47.6,22019042,247,89145.9,77279.0,76223,301212,50030.5,ampere_sgemm_128x64_tn
21.9,10134383,312,32482.0,32448.0,31968,33472,238.0,ampere_sgemm_32x128_tn
7.2,3313169,962,3444.0,3584.0,2976,3808,218.5,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3.2,1461647,468,3123.2,3104.0,3008,3424,79.7,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.9,1348075,78,17283.0,17279.0,17215,17472,62.7,ampere_sgemm_128x128_nn
2.0,936879,468,2001.9,1824.0,1760,2464,274.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
1.9,901167,156,5776.7,5760.0,5632,5984,69.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
1.9,866645,78,11110.8,11104.0,11039,11264,56.7,ampere_sgemm_128x128_tn
1.3,620181,169,3669.7,3296.0,2911,7840,1169.0,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &)::[lambda(int) (instance 1)]>(long long, T3)"
1.3,599033,78,7679.9,7680.0,7328,7872,71.6,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, (int)4>>(T3)"
