Generating SQLite file .\nsys_profiles_win\small_forward_backward_fp32_20251218_162513.sqlite from .\nsys_profiles_win\small_forward_backward_fp32_20251218_162513.nsys-rep
Processing [.\nsys_profiles_win\small_forward_backward_fp32_20251218_162513.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2025.3.2\host-windows-x64\reports\cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
16.2,73461522,247,297415.1,257084.0,255548,1020209,170487.4,ampere_sgemm_128x64_tn
16.0,72276880,247,292618.9,250684.0,247964,1060337,181045.6,ampere_sgemm_128x64_nn
12.2,55168175,234,235761.4,235757.0,234876,236957,442.0,ampere_sgemm_64x64_nt
8.0,36381345,1521,23919.4,9760.0,8800,326907,34901.3,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
7.3,33007382,312,105792.9,105438.0,104702,124958,1997.1,ampere_sgemm_32x128_tn
5.2,23460212,312,75193.0,74735.0,73791,76607,1009.0,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params)
4.6,20875925,312,66910.0,66399.0,65791,68159,967.6,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nt_align1>(T1::Params)
4.1,18448737,1924,9588.7,10016.0,6655,13344,1272.4,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
4.0,17910535,1300,13777.3,9696.0,3488,42112,9706.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
2.6,11757148,13,904396.0,904307.0,902708,905875,893.4,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_nt_align1>(T1::Params)
2.3,10587843,1495,7082.2,6752.0,5215,16992,2546.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
2.0,9214455,624,14766.8,14720.0,14559,15040,98.9,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long long, T6 *, int *)"
2.0,9131353,156,58534.3,58463.0,57919,59167,217.0,ampere_sgemm_128x128_nn
1.9,8677540,156,55625.3,55487.5,54943,56671,484.0,ampere_sgemm_128x128_nt
1.3,5947252,416,14296.3,13471.5,10784,49503,6479.1,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)"
1.3,5929292,156,38008.3,37855.0,36831,40735,903.2,ampere_sgemm_128x128_tn
1.2,5379061,312,17240.6,17248.0,13056,22815,2922.3,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.2,5271853,169,31194.4,31168.0,28991,32448,405.8,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)"
0.5,2388197,156,15309.0,15328.0,14848,15744,218.7,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(bool, float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.5,2307205,273,8451.3,3104.0,2943,53056,12941.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long long)1>>(int, T2, T3)"
0.4,2005508,156,12855.8,12864.0,12735,13023,55.0,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.4,1992674,78,25547.1,25567.0,24352,25759,147.0,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, (int)4>>(T3)"
